id,title,budget,revenue,genres,is_franchise,release_date,vote_average,vote_count,runtime,collection,roi
366668,Playmobil: The Movie,75000000.0,1630000,Adventure,False,2019-06-10,5.643,287,99,,-97.82666666666667
10206,Buffy the Vampire Slayer,7000000.0,16624456,Action,False,1992-07-24,5.607,846,86,,137.49222857142857
10206,Buffy the Vampire Slayer,7000000.0,16624456,Comedy,False,1992-07-24,5.607,846,86,,137.49222857142857
10206,Buffy the Vampire Slayer,7000000.0,16624456,Horror,False,1992-07-24,5.607,846,86,,137.49222857142857
42188,Never Let Me Go,15000000.0,9918093,Drama,False,2010-03-18,6.852,2344,103,,-33.87938
42188,Never Let Me Go,15000000.0,9918093,Romance,False,2010-03-18,6.852,2344,103,,-33.87938
42188,Never Let Me Go,15000000.0,9918093,Science Fiction,False,2010-03-18,6.852,2344,103,,-33.87938
3635,Girl with a Pearl Earring,10500000.0,31500000,Drama,False,2003-12-12,6.614,1405,101,,200.0
3635,Girl with a Pearl Earring,10500000.0,31500000,Romance,False,2003-12-12,6.614,1405,101,,200.0
498248,Mia and the White Lion,9600000.0,35487190,Adventure,False,2018-08-02,7.274,888,98,,269.6582291666667
498248,Mia and the White Lion,9600000.0,35487190,Family,False,2018-08-02,7.274,888,98,,269.6582291666667
498248,Mia and the White Lion,9600000.0,35487190,Drama,False,2018-08-02,7.274,888,98,,269.6582291666667
2690,Irma la Douce,5000000.0,25200000,Romance,False,1963-06-05,7.412,434,147,,404.0
2690,Irma la Douce,5000000.0,25200000,Comedy,False,1963-06-05,7.412,434,147,,404.0
10774,Network,3800000.0,23700000,Drama,False,1976-11-14,7.815,1847,122,,523.6842105263157
10592,Hart's War,70000000.0,32287044,Drama,False,2002-02-15,6.39,974,125,,-53.87565142857142
10592,Hart's War,70000000.0,32287044,War,False,2002-02-15,6.39,974,125,,-53.87565142857142
1093966,Vettaiyan,35500000.0,30745762,Action,False,2024-10-10,6.1,27,161,,-13.392219718309859
1093966,Vettaiyan,35500000.0,30745762,Crime,False,2024-10-10,6.1,27,161,,-13.392219718309859
1093966,Vettaiyan,35500000.0,30745762,Drama,False,2024-10-10,6.1,27,161,,-13.392219718309859
17501,Don,5000000.0,15000000,Action,True,2006-10-20,6.881,277,178,Don Collection,200.0
17501,Don,5000000.0,15000000,Drama,True,2006-10-20,6.881,277,178,Don Collection,200.0
17501,Don,5000000.0,15000000,Thriller,True,2006-10-20,6.881,277,178,Don Collection,200.0
1147546,The Diplomat,2352000.0,6230000,Thriller,False,2025-03-07,6.469,16,132,,164.88095238095238
1147546,The Diplomat,2352000.0,6230000,Drama,False,2025-03-07,6.469,16,132,,164.88095238095238
621587,Next Goal Wins,14000000.0,18062279,Comedy,False,2023-11-16,6.408,519,104,,29.016278571428572
621587,Next Goal Wins,14000000.0,18062279,Drama,False,2023-11-16,6.408,519,104,,29.016278571428572
9298,Ali G Indahouse,7000000.0,23280529,Comedy,False,2002-03-21,6.065,1406,85,,232.5789857142857
